scope,range,tag_kind,shared,code_a,code_b,year,rows_a,rows_b,approved_a,approved_b,approved_gap,executed_a,executed_b,executed_gap
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2007.0,467.0,196.0,2865070996.0,569102392.0,2295968604.0,4002537647.6699996,1116083819.4599998,2886453828.21
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2008.0,485.0,204.0,3292268684.0,602365092.0,2689903592.0,4379081356.14,1089874820.3100002,3289206535.83
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2009.0,426.0,179.0,4469302163.0,717254463.0,3752047700.0,2990221801.080502,766217897.23,2224003903.850502
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2010.0,412.0,215.0,4094958638.0,734729834.0,3360228804.0,3430782775.2234397,950426057.6310099,2480356717.5924296
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2011.0,573.0,279.0,4575615246.75,829340015.0,3746275231.75,4273198583.3825183,1084909807.1264153,3188288776.256103
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2012.0,609.0,302.0,5236757222.986328,870167322.986328,4366589900.0,5445563195.992604,1059070882.7231956,4386492313.269409
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2013.0,632.0,317.0,5937534113.0,815459713.0,5122074400.0,6961875886.414363,1421474657.8059645,5540401228.608398
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2014.0,598.0,260.0,7567326346.0,1365796246.0,6201530100.0,9290076648.560116,2780469768.8501153,6509606879.710001
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2015.0,569.0,254.0,9407987618.5,1104497653.0,8303489965.5,7770869101.692573,2034216053.982002,5736653047.71057
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2006.0,460.0,207.0,2894972149.0,1794870549.0,1100101600.0,3680225311.200001,2347695853.9600005,1332529457.2400002
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2007.0,463.0,212.0,3929389455.0,2580962155.0,1348427300.0,4258784448.5399995,2802463662.0199995,1456320786.52
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2008.0,469.0,222.0,4790857030.0,3210088830.0,1580768200.0,5193674088.490002,3426984659.7100015,1766689428.7800002
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2009.0,476.0,220.0,5394256874.0,3518983074.0,1875273800.0,5671899957.412765,3910475320.909996,1761424636.5027685
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2010.0,474.0,230.0,6428012602.0,4529903202.0,1898109400.0,6574842819.852662,4586853547.339652,1987989272.51301
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2011.0,574.0,268.0,6918208276.909179,4810228556.909179,2107979720.0,6868916646.477499,4797076819.402468,2071839827.0750313
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2012.0,568.0,264.0,7544431673.992577,5258616273.992577,2285815400.0,7396776519.648739,5187499875.630583,2209276644.018156
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2013.0,539.0,265.0,7249195571.0,5339903671.0,1909291900.0,7064038538.765083,5248642832.08991,1815395706.6751738
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2014.0,506.0,249.0,7694430924.0,5675148524.0,2019282400.0,7823617292.09308,5899040469.603081,1924576822.4899988
subnational,2006-2015,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2015.0,510.0,257.0,8791919531.0,6442540131.0,2349379400.0,8499688756.739487,6328083962.209975,2171604794.5295115
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2006.0,231.0,53.0,2052625910.0,22394306.0,2030231604.0,2153920086.5,87318463.64999999,2066601622.85
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2007.0,222.0,50.0,2603739900.0,69956200.0,2533783700.0,2629061989.95,92600208.61,2536461781.3399997
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2008.0,231.0,58.0,3373487796.0,73790900.0,3299696896.0,3392923980.49,150599953.09,3242324027.3999996
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2009.0,231.0,57.0,4082964685.0,125781685.0,3957183000.0,3848456639.1541343,74678282.76,3773778356.394134
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2010.0,199.0,57.0,4081769786.0,87373194.0,3994396592.0,3996565247.831786,114578437.45056139,3881986810.3812246
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2011.0,268.0,85.0,4304631096.0,61363900.0,4243267196.0,4259632648.29091,75844557.6654204,4183788090.625489
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2012.0,262.0,84.0,4633743756.0,86037156.0,4547706600.0,4762682044.839413,79330594.00564557,4683351450.833767
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2013.0,280.0,94.0,5190418643.0,66671543.0,5123747100.0,5228090444.471645,96590092.21917711,5131500352.252468
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2014.0,273.0,80.0,5648911721.0,102269721.0,5546642000.0,5918971328.644365,137790569.38436496,5781180759.26
subnational,2006-2015,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2015.0,266.0,82.0,6818270883.0,101661083.0,6716609800.0,6477782664.350642,133160453.0943755,6344622211.256267
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2006.0,199.0,97.0,636654650.0,41014150.0,595640500.0,685335934.9300001,61987376.36,623348558.57
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2007.0,189.0,88.0,817330700.0,60693800.0,756636900.0,1230315245.89,79719356.26000002,1150595889.63
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2008.0,184.0,82.0,864562500.0,88243700.0,776318800.0,1244329106.9,96369588.19000001,1147959518.71
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2009.0,138.0,39.0,880491900.0,14125200.0,866366700.0,1034123378.2496194,14094899.709999999,1020028478.5396193
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2010.0,121.0,43.0,785958100.0,12787900.0,773170200.0,857734150.7903135,17955946.141616814,839778204.6486967
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2011.0,161.0,60.0,833107004.0,16351300.0,816755704.0,843462831.0013025,18498515.287687298,824964315.7136152
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2012.0,164.0,58.0,996465500.0,19855200.0,976610300.0,1272734557.2001827,19857613.904937737,1252876943.295245
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2013.0,173.0,64.0,1522960300.0,22437400.0,1500522900.0,1386297856.7394915,27411095.070648186,1358886761.6688433
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2014.0,155.0,44.0,1944792300.0,23690000.0,1921102300.0,2045140912.3293333,36719509.629333496,2008421402.6999998
subnational,2006-2015,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2015.0,160.0,49.0,2600586002.5,19937700.0,2580648302.5,2211379587.149841,38653565.92930526,2172726021.2205358
subnational,2016-2019,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2016.0,59778.0,53935.0,5144099184.0,1765952158.0,3378147026.0,4874821176.49,2424238892.17,2450582284.3199997
subnational,2016-2019,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2017.0,71003.0,62744.0,5809859808.0,2228528170.0,3581331638.0,5579402504.2,3234694386.13,2344708118.0699997
subnational,2016-2019,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2018.0,68986.0,63118.0,7767906820.0,2626227660.0,5141679160.0,5944508945.37,3667034879.55,2277474065.8199997
subnational,2016-2019,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2019.0,64791.0,60865.0,7151009140.0,2997638310.0,4153370830.0,6411495930.99,3847534815.62,2563961115.37
subnational,2016-2019,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2016.0,80812.0,75756.0,9311350339.94,6795348840.0,2516001499.9400005,8555623889.6,6561118121.09,1994505768.5100002
subnational,2016-2019,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2017.0,103005.0,92932.0,9687119742.0,7132712630.0,2554407112.0,9672923855.66,7449466450.06,2223457405.5999994
subnational,2016-2019,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2018.0,96074.0,90251.0,10642982020.0,8004904620.0,2638077400.0,10470705800.39,8076052946.65,2394652853.74
subnational,2016-2019,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2019.0,93416.0,91826.0,11410012850.0,8558245050.0,2851767800.0,12127194081.62,9559473483.87,2567720597.75
subnational,2016-2019,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2016.0,1740.0,224.0,6594041803.99,84303900.0,6509737903.99,6503002786.13,74799988.67,6428202797.46
subnational,2016-2019,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2017.0,3085.0,269.0,7220034504.0,102006700.0,7118027804.0,7266893666.77,139482231.15,7127411435.620001
subnational,2016-2019,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2018.0,1955.0,349.0,8033104600.0,117677000.0,7915427600.0,7798965493.86,166929954.6,7632035539.259999
subnational,2016-2019,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2019.0,1060.0,297.0,9127186400.0,152649900.0,8974536500.0,8635808056.380001,173108551.74,8462699504.640001
subnational,2016-2019,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2016.0,2082.0,657.0,1745103416.0,23236800.0,1721866616.0,1340469832.82,38855541.13,1301614291.6899998
subnational,2016-2019,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2017.0,2340.0,646.0,1852999504.0,33890500.0,1819109004.0,1630060266.43,32472690.29,1597587576.14
subnational,2016-2019,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2018.0,2044.0,637.0,1851599260.0,25407170.0,1826192090.0,1458781851.52,42972175.480000004,1415809676.04
subnational,2016-2019,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2019.0,1020.0,589.0,1760528960.0,36678460.0,1723850500.0,1514778120.8,32004083.419999998,1482774037.3799999
subnational,2020-2024,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2020.0,67607.0,63813.0,8863604397.0,2991123737.0,5872480660.0,6790396297.96,3813626040.58,2976770257.38
subnational,2020-2024,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2021.0,68003.0,62990.0,7502557188.0,4115911188.0,3386646000.0,8141853195.36,4970742723.29,3171110472.0699997
subnational,2020-2024,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2022.0,9997.0,8847.0,8073527690.0,3423261990.0,4650265700.0,9265992691.59,5570342072.53,3695650619.0600004
subnational,2020-2024,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2023.0,9736.0,8647.0,8850943970.0,3873115800.0,4977828170.0,10760464233.62,6866021556.5,3894442677.120001
subnational,2020-2024,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2024.0,8473.0,8147.0,9591272140.0,4244901600.0,5346370540.0,10648556021.49,6037939891.71,4610616129.78
subnational,2020-2024,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2020.0,92881.0,91342.0,13200078170.0,10237306170.0,2962772000.0,12588294771.13,9911638561.12,2676656210.0099983
subnational,2020-2024,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2021.0,92406.0,90038.0,13552781031.0,10813433931.0,2739347100.0,13401920040.56,10833548395.57,2568371644.99
subnational,2020-2024,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2022.0,7912.0,7508.0,25551466670.0,11896042870.0,13655423800.0,28038690473.7,13373129610.65,14665560863.050001
subnational,2020-2024,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2023.0,7742.0,7429.0,31473172600.0,14419240800.0,17053931800.0,33387656876.3,15848222584.87,17539434291.43
subnational,2020-2024,EXP_FUNC,func=Education,EXP_FUNC_EDU_EXE,EXP_FUNC_SBN_EDU_EXE,2024.0,7642.0,7292.0,32915187300.0,15508720100.0,17406467200.0,34705008478.05,16243726763.66,18461281714.390003
subnational,2020-2024,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2020.0,1106.0,376.0,10064552000.0,127444800.0,9937107200.0,9990801149.27,175730925.24,9815070224.03
subnational,2020-2024,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2021.0,1494.0,358.0,13783303736.0,164513836.0,13618789900.0,13528985183.51,163964629.66,13365020553.85
subnational,2020-2024,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2022.0,523.0,218.0,14563224800.0,134611900.0,14428612900.0,13242820008.11,153529142.2,13089290865.91
subnational,2020-2024,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2023.0,449.0,163.0,16148621200.0,117177300.0,16031443900.0,15801467175.06,112142418.31,15689324756.75
subnational,2020-2024,EXP_FUNC,func=Health,EXP_FUNC_HEA_EXE,EXP_FUNC_SBN_HEA_EXE,2024.0,449.0,148.0,17898261900.0,84357100.0,17813904800.0,17904121162.28,88550228.11,17815570934.17
subnational,2020-2024,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2020.0,980.0,570.0,1907786820.0,41973720.0,1865813100.0,1739779818.29,29583342.9,1710196475.3899999
subnational,2020-2024,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2021.0,1186.0,545.0,1858526300.0,35800900.0,1822725400.0,1976833102.6100001,30730469.2,1946102633.41
subnational,2020-2024,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2022.0,642.0,454.0,2408914600.0,32120400.0,2376794200.0,2535123360.2,33183666.76,2501939693.4399996
subnational,2020-2024,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2023.0,629.0,445.0,2549520700.0,34539400.0,2514981300.0,2752759344.91,34122638.95,2718636705.96
subnational,2020-2024,EXP_FUNC,func_sub=siblings under func=`Economic affairs`,EXP_FUNC_AGR_EXE,EXP_FUNC_SBN_AGR_EXE,2024.0,610.0,436.0,2782534900.0,39989200.0,2742545700.0,3008946398.46,36394557.4,2972551841.06
