sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2022,17869733180.0,17869733180.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2023,20612928554.0,20612928554.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
Approved,4,EXP_ECON_WAG_BIL_EXE,approved_20,20,2024,27139930434.0,27139930434.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",exp_type_20,""Personal"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_16,16,2016,1957660229.99,1957660229.99,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ3_16,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_16,16,2017,2171664220.0,2171664220.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ3_16,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_16,16,2018,2424664380.0,2424664380.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ3_16,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_16,16,2019,2522298950.0,2522298950.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ3_16,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_20,20,2020,3168746380.0,3168746380.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_20,20,2021,3645329704.0,3645329704.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_20,20,2022,3808939730.0,3808939730.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")"
Approved,7,EXP_ECON_PEN_CON_EXE,approved_20,20,2023,0.0,0.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ3_20,""212000 Contributii si prime de asigurari obligatorii"")"
