sheet,row,row_type,code,category,fiscal_year,region,income,basis,source,rigidity,formulas_text,coverage_text,sample_formula,sample_year,measure,criteria_json
Approved,283,HEADER,EXP_FUNC_SBN_IRR_EXE,Subnational: Spending in irrigation,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,284,HEADER,EXP_FUNC_SBN_HYD_EXE,Subnational: Spending in hydropower,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,285,HEADER,EXP_CROSS_SBN_IRR_REC_EXE,Subnational: Spending in irrigation (recurrent),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,286,HEADER,EXP_CROSS_SBN_HYD_REC_EXE,Subnational: Spending in hydropower (recurrent),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,287,HEADER,EXP_CROSS_SBN_IRR_CAP_EXE,Subnational: Spending in irrigation (capital),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,288,HEADER,EXP_CROSS_SBN_HYD_CAP_EXE,Subnational: Spending in hydropower (capital),Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,Local Government,,,,[]
Approved,290,HEADER,EXP_ECON_OTH_MED_RIG_EXP_EXE,Other medium rigidity expenditures,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,291,HEADER,EXP_ECON_OTH_HIG_RIG_EXE,Other high rigid expenditures,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,292,TAG,EXP_ECON_COR_LOW_RIG_EXE,Correction - low rigidity,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3,""22005 Military Procurement, Supplies and Services"")",General Government,"=-SUMIFS(approved,Exclude,""<>y"",year,O$1,econ3,""22005 Military Procurement, Supplies and Services"")",2018,approved,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ3"", ""op"": ""="", ""value"": ""22005 Military Procurement, Supplies and Services""}]"
Approved,293,HEADER,EXP_ECON_COR_MED_RIG_EXE,Correction - medium rigidity,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,..,General Government,,,,[]
Approved,294,TAG,EXP_ECON_COR_HIG_RIG_EXE,Correction - high rigidity,Jan-Dec,Sub-Saharan Africa,Lower middle income,Cash,BOOST,Yes,"econ3,""22005 Military Procurement, Supplies and Services"")",General Government,"=SUMIFS(approved,Exclude,""<>y"",year,O$1,econ3,""22005 Military Procurement, Supplies and Services"")",2018,approved,"[{""field"": ""Exclude"", ""op"": ""<>"", ""value"": ""y""}, {""field"": ""year"", ""op"": ""=year"", ""value"": ""O$1""}, {""field"": ""econ3"", ""op"": ""="", ""value"": ""22005 Military Procurement, Supplies and Services""}]"
