filename,sheet_name,col_name,admin_level,country,country_code,comment
Colombia BOOST HL 2019-22 CCI.xlsx,subnational,admin1,admin1,Colombia,COL,admin0 gives additional information about the unit being department or municipality
Colombia BOOST HL 2019-22 CCI.xlsx,subnational,admin1,admin1,Colombia,COL,
Congo DR BOOST 2012-21 CCI.xlsx,BOOST 2012-2021,Province,admin1,Congo Dr,COD,
Dominican Republic BOOST 2008-22 CCI.xlsx,Raw,GEO2,admin2,Dominican Republic,DOM,
Dominican Republic BOOST 2008-22 CCI.xlsx,Raw,GEO1,admin1,Dominican Republic,DOM,
Ecuador BOOST 2009-22 CCI.xlsx,2018-22,GEO2 (canton),admin2,Ecuador,ECU,unclear
Ecuador BOOST 2009-22 CCI.xlsx,2018-22,GEO1 (provincia),admin1,Ecuador,ECU,
Ecuador BOOST 2009-22 CCI.xlsx,2018-22,GEO2 (canton),admin2,Ecuador,ECU,
Ecuador BOOST 2009-22 CCI.xlsx,GADS reduced,GEO2 (canton),admin2,Ecuador,ECU,
Ecuador BOOST 2009-22 CCI.xlsx,GADS reduced,GEO1 (provincia),admin1,Ecuador,ECU,
El Salvador BOOST PS 2009-22 CCI.xlsx,2009-16,admin2,admin1,El Salvador,SLV,
El Salvador BOOST PS 2009-22 CCI.xlsx,2017 onward,admin3,admin2,El Salvador,SLV,
El Salvador BOOST PS 2009-22 CCI.xlsx,2009-16,admin2,admin1,El Salvador,SLV,some department info present
Gabon BOOST 2015-16 CCI.xlsx,raw,Geo,admin1,Gabon,GAB,
Ghana BOOST 2016-21 CCI.xlsx,Raw,GEO,admin1,Ghana,GHA,combined admin1 and admin2 info
